country,div,code,year,trimstr,dts,bsn,pop,pscore,cum_pscore,cum_avg_pscore
Brazil,Acre,BR-AC,2020,"Jan-Mar
2020",1081.4285714285716,1052.1090672592372,866468.5050644106,1.0278673619320782,1.0375613452638632,1.037436408073024
Brazil,Acre,BR-AC,2020,"Apr-Jun
2020",1480.1428571428573,1083.8993545437759,866468.5050644106,1.365572228581928,1.120751192055398,1.1170465369051348
Brazil,Acre,BR-AC,2020,"Jul-Sep
2020",1225.857142857143,1079.1511803219569,866468.5050644106,1.1359456999263229,1.1942871499274894,1.1895111494424817
Brazil,Acre,BR-AC,2020,"Oct-Dec
2020",1168.857142857143,1044.0275884547593,866468.5050644106,1.1195653790980187,1.1640201568481525,1.1591450243348205
Brazil,Acre,BR-AC,2021,"Jan-Mar
2021",1969.857142857143,1121.5187623378565,878101.1853009473,1.7564192495102684,1.2241488383033992,1.2181445725208158
Brazil,Acre,BR-AC,2021,"Apr-Jun
2021",1450.857142857143,1130.65157482352,878101.1853009473,1.283204459414124,1.3005564559587153,1.2913662402755415
Brazil,Acre,BR-AC,2021,"Jul-Sep
2021",1104.2857142857142,1063.0013898616685,878101.1853009473,1.0388375074743958,1.2627524464308735,1.2554000981745155
Brazil,Acre,BR-AC,2021,"Oct-Dec
2021",704,692.768368870847,878101.1853009473,1.0162126789181491,1.2359330291974295,1.224288952632023
Brazil,Alagoas,BR-AL,2020,"Jan-Mar
2020",5146.571428571428,4904.704023336049,3419306.9703828506,1.0493133538914072,1.0420259259958822,1.0423855658265073
Brazil,Alagoas,BR-AL,2020,"Apr-Jun
2020",7614.571428571428,5225.326441904379,3419306.9703828506,1.4572432006365301,1.1693742796598008,1.1634558987176407
Brazil,Alagoas,BR-AL,2020,"Jul-Sep
2020",5814.571428571428,5214.865016295887,3419306.9703828506,1.1149994123340727,1.2305308186268895,1.2235905648261012
Brazil,Alagoas,BR-AL,2020,"Oct-Dec
2020",5374.142857142857,4890.652742993757,3419306.9703828506,1.098860037618033,1.1892249292850814,1.1830129164351357
Brazil,Alagoas,BR-AL,2021,"Jan-Mar
2021",6322.428571428572,4881.871310431721,3432013.098591755,1.295083005960978,1.1926406725833822,1.1877828466216551
Brazil,Alagoas,BR-AL,2021,"Apr-Jun
2021",7091.857142857143,5217.791742528449,3432013.098591755,1.3591683019952336,1.2266681653662581,1.2223867364712075
Brazil,Alagoas,BR-AL,2021,"Jul-Sep
2021",5803.714285714285,5267.210100190881,3432013.098591755,1.1018573733187444,1.2203670781296356,1.2169231244080814
Brazil,Alagoas,BR-AL,2021,"Oct-Dec
2021",4599.142857142857,4396.856636445913,3432013.098591755,1.0460070085115298,1.2001598389785353,1.195887507002108
Brazil,Amapa,BR-AP,2020,"Jan-Mar
2020",865.1428571428571,819.7843621307209,842491.0382796238,1.0553297880606602,1.0593482529389568,1.059961930983155
Brazil,Amapa,BR-AP,2020,"Apr-Jun
2020",1713,974.1096968446947,842491.0382796238,1.7585288449018581,1.3119179735271145,1.285391849551224
Brazil,Amapa,BR-AP,2020,"Jul-Sep
2020",928.4285714285714,870.0151287247445,842491.0382796238,1.067140720632581,1.350817575487652,1.3237989908027266
Brazil,Amapa,BR-AP,2020,"Oct-Dec
2020",1094.7142857142858,885.9094518736889,842491.0382796238,1.2356954578134107,1.2910446060038623,1.2685117563157418
Brazil,Amapa,BR-AP,2021,"Jan-Mar
2021",1266.5714285714287,928.5140255103156,856942.8080808095,1.3640843258940705,1.2966036650043535,1.2777294888071287
Brazil,Amapa,BR-AP,2021,"Apr-Jun
2021",1460.2857142857142,1021.3790917575991,856942.8080808095,1.4297196076070446,1.3348519128247989,1.3152692748360486
Brazil,Amapa,BR-AP,2021,"Jul-Sep
2021",1032.142857142857,955.457403989755,856942.8080808095,1.0802604625102936,1.3054453107498591,1.2903105744207843
Brazil,Amapa,BR-AP,2021,"Oct-Dec
2021",808.7142857142858,800.3941543721044,856942.8080808095,1.010395042613359,1.2730585210718062,1.2578524035400305
Brazil,Amazonas,BR-AM,2020,"Jan-Mar
2020",4637.571428571428,4480.112892238075,4238594.868327024,1.0351461090648306,1.0474192185128046,1.0473557892592185
Brazil,Amazonas,BR-AM,2020,"Apr-Jun
2020",9229.857142857143,4763.649204857563,4238594.868327024,1.9375602077175043,1.4817220083731486,1.4663604189022679
Brazil,Amazonas,BR-AM,2020,"Jul-Sep
2020",4981.714285714286,4649.963569559248,4238594.868327024,1.071344798984411,1.3915671799621359,1.3815191766819734
Brazil,Amazonas,BR-AM,2020,"Oct-Dec
2020",5616.285714285714,4552.563553849597,4238594.868327024,1.2336534455486392,1.3277845533493629,1.3197249742897217
Brazil,Amazonas,BR-AM,2021,"Jan-Mar
2021",12689,4645.2578860419035,4293257.7561658705,2.731602918780457,1.585228631777545,1.5786703082751623
Brazil,Amazonas,BR-AM,2021,"Apr-Jun
2021",5607.571428571428,4869.406869244331,4293257.7561658705,1.151592294328375,1.5571713906036944,1.5558934469018653
Brazil,Amazonas,BR-AM,2021,"Jul-Sep
2021",5022.285714285714,4746.495648578094,4293257.7561658705,1.0581039331175282,1.4824588647544428,1.483789895972266
Brazil,Amazonas,BR-AM,2021,"Oct-Dec
2021",4168.571428571428,4150.666254998164,4293257.7561658705,1.0043138071030653,1.4238793359831103,1.4227936854304473
Brazil,Bahia,BR-BA,2020,"Jan-Mar
2020",23189.714285714286,22746.261712673993,15521324.8348771,1.0194956243202462,1.0183538534788263,1.0181723689311608
Brazil,Bahia,BR-BA,2020,"Apr-Jun
2020",27549.428571428572,23866.849499178814,15521324.8348771,1.15429682381734,1.0558172823840033,1.0542343242232848
Brazil,Bahia,BR-BA,2020,"Jul-Sep
2020",28843,24137.60160349824,15521324.8348771,1.1949405940903346,1.1193303477628378,1.1156543717917646
Brazil,Bahia,BR-BA,2020,"Oct-Dec
2020",26766.857142857145,23265.681235545482,15521324.8348771,1.1504867135359242,1.1272408269416372,1.1244935089643835
Brazil,Bahia,BR-BA,2021,"Jan-Mar
2021",29623.285714285717,23240.092693119328,15572184.18433847,1.2746629759809975,1.145507066683209,1.1433419547812413
Brazil,Bahia,BR-BA,2021,"Apr-Jun
2021",31474.714285714283,24183.699305020426,15572184.18433847,1.3014846855617443,1.1777627056677378,1.1755080151473638
Brazil,Bahia,BR-BA,2021,"Jul-Sep
2021",26586.142857142855,24604.62982246296,15572184.18433847,1.0805341534897168,1.175491083666844,1.1735950891484266
Brazil,Bahia,BR-BA,2021,"Oct-Dec
2021",20299.428571428572,20210.15508116531,15572184.18433847,1.004417259041543,1.1557716496801445,1.1528722164665868
Brazil,Ceara,BR-CE,2020,"Jan-Mar
2020",15071,14653.211516175577,9176953.949442582,1.0285117350120299,1.0191853583249542,1.0189712200929215
Brazil,Ceara,BR-CE,2020,"Apr-Jun
2020",23133.428571428572,15662.46086412327,9176953.949442582,1.4769983320065905,1.188929122771271,1.1806876281715002
Brazil,Ceara,BR-CE,2020,"Jul-Sep
2020",16069.142857142857,14069.087982237743,9176953.949442582,1.1421595257226473,1.236771294766047,1.2283608699401503
Brazil,Ceara,BR-CE,2020,"Oct-Dec
2020",15197.428571428572,14088.312445974429,9176953.949442582,1.0787259744350048,1.1972364488725846,1.189263267789186
Brazil,Ceara,BR-CE,2021,"Jan-Mar
2021",19893.571428571428,14695.0120486586,9224395.906944105,1.353763533006927,1.1950163195093122,1.187180576256286
Brazil,Ceara,BR-CE,2021,"Apr-Jun
2021",24006.714285714286,15958.880336695862,9224395.906944105,1.504285625258636,1.2669045459659103,1.2540067892236875
Brazil,Ceara,BR-CE,2021,"Jul-Sep
2021",14696,14228.354256185172,9224395.906944105,1.0328671703975558,1.250344233086603,1.2382636087215564
Brazil,Ceara,BR-CE,2021,"Oct-Dec
2021",12497.142857142857,12454.51561661432,9224395.906944105,1.0034226333516874,1.2208547143093194,1.207831387881563
Brazil,Distrito Federal,BR-DF,2020,"Jan-Mar
2020",3571,3502.6952434063824,3221327.5222019814,1.0195006279013845,1.0168725495078146,1.0165076312513923
Brazil,Distrito Federal,BR-DF,2020,"Apr-Jun
2020",4126.142857142857,3604.4294278075968,3221327.5222019814,1.1447423065937494,1.0390518986601274,1.037235133330068
Brazil,Distrito Federal,BR-DF,2020,"Jul-Sep
2020",6083.714285714286,3735.6280764430185,3221327.5222019814,1.62856530715099,1.2343515879982454,1.2242035106146485
Brazil,Distrito Federal,BR-DF,2020,"Oct-Dec
2020",4350.285714285715,3592.722485319089,3221327.5222019814,1.2108604914691434,1.2623109101333472,1.2540226531045573
Brazil,Distrito Federal,BR-DF,2021,"Jan-Mar
2021",5487.714285714286,3559.8900758868376,3279991.616793198,1.541540375891295,1.273426886197152,1.2658652591054103
Brazil,Distrito Federal,BR-DF,2021,"Apr-Jun
2021",6477.428571428572,3815.7028702833295,3279991.616793198,1.697571533117724,1.3786097791079737,1.3680979627990681
Brazil,Distrito Federal,BR-DF,2021,"Jul-Sep
2021",4778.571428571428,3761.045186389051,3279991.616793198,1.2705434770804485,1.3691467908716572,1.3604649129048265
Brazil,Distrito Federal,BR-DF,2021,"Oct-Dec
2021",3304.285714285714,3079.042539029295,3279991.616793198,1.0731536418874648,1.3428484525911282,1.3328781004397798
Brazil,Espirito Santo,BR-ES,2020,"Jan-Mar
2020",6099.714285714286,5867.453910521186,4137531.3274909128,1.039584524861222,1.0319440468302021,1.0314644101263546
