Country,Region,Date,new_Cases,new_Deaths,Period,IsoCode
Argentina,Santiago del Estero,2021-04-30,13523,136,2021_Q1,AR-G
Argentina,Tierra del Fuego,2020-04-30,126,0,2020_Q1,AR-V
Argentina,Tierra del Fuego,2020-08-30,1935,33,2020_Q2,AR-V
Argentina,Tierra del Fuego,2020-12-31,17224,258,2020_Q3,AR-V
Argentina,Tierra del Fuego,2021-04-30,7076,123,2021_Q1,AR-V
Argentina,Tucumán,2020-04-30,39,4,2020_Q1,AR-T
Argentina,Tucumán,2020-08-30,2232,24,2020_Q2,AR-T
Argentina,Tucumán,2020-12-31,69286,1368,2020_Q3,AR-T
Argentina,Tucumán,2021-04-30,40964,363,2021_Q1,AR-T
Brazil,Acre,2020-04-30,NA,22,2020_Q1,BR-AC
Brazil,Acre,2020-08-30,NA,597,2020_Q2,BR-AC
Brazil,Acre,2020-12-31,NA,191,2020_Q3,BR-AC
Brazil,Acre,2021-04-30,NA,1005,2021_Q1,BR-AC
Brazil,Alagoas,2020-04-30,NA,53,2020_Q1,BR-AL
Brazil,Alagoas,2020-08-30,NA,1925,2020_Q2,BR-AL
Brazil,Alagoas,2020-12-31,NA,467,2020_Q3,BR-AL
Brazil,Alagoas,2021-04-30,NA,1697,2021_Q1,BR-AL
Brazil,All,2020-04-30,NA,10863,2020_Q1,BR
Brazil,All,2020-08-30,NA,111880,2020_Q2,BR
Brazil,All,2020-12-31,NA,76070,2020_Q3,BR
Brazil,All,2021-04-30,NA,220931,2021_Q1,BR
Brazil,Amapá,2020-04-30,NA,45,2020_Q1,BR-AP
Brazil,Amapá,2020-08-30,NA,607,2020_Q2,BR-AP
Brazil,Amapá,2020-12-31,NA,222,2020_Q3,BR-AP
Brazil,Amapá,2021-04-30,NA,525,2021_Q1,BR-AP
Brazil,Amazonas,2020-04-30,NA,510,2020_Q1,BR-AM
Brazil,Amazonas,2020-08-30,NA,1601,2020_Q2,BR-AM
Brazil,Amazonas,2020-12-31,NA,1016,2020_Q3,BR-AM
Brazil,Amazonas,2021-04-30,NA,5771,2021_Q1,BR-AM
Brazil,Bahia,2020-04-30,NA,142,2020_Q1,BR-BA
Brazil,Bahia,2020-08-30,NA,5722,2020_Q2,BR-BA
Brazil,Bahia,2020-12-31,NA,3264,2020_Q3,BR-BA
Brazil,Bahia,2021-04-30,NA,7963,2021_Q1,BR-BA
Brazil,Ceará,2020-04-30,NA,911,2020_Q1,BR-CE
Brazil,Ceará,2020-08-30,NA,7404,2020_Q2,BR-CE
Brazil,Ceará,2020-12-31,NA,1712,2020_Q3,BR-CE
Brazil,Ceará,2021-04-30,NA,8805,2021_Q1,BR-CE
Brazil,Distrito Federal,2020-04-30,NA,61,2020_Q1,BR-DF
Brazil,Distrito Federal,2020-08-30,NA,2498,2020_Q2,BR-DF
Brazil,Distrito Federal,2020-12-31,NA,1414,2020_Q3,BR-DF
Brazil,Distrito Federal,2021-04-30,NA,3074,2021_Q1,BR-DF
Brazil,Espírito Santo,2020-04-30,NA,114,2020_Q1,BR-ES
Brazil,Espírito Santo,2020-08-30,NA,3173,2020_Q2,BR-ES
Brazil,Espírito Santo,2020-12-31,NA,2146,2020_Q3,BR-ES
Brazil,Espírito Santo,2021-04-30,NA,4593,2021_Q1,BR-ES
Brazil,Goiás,2020-04-30,NA,98,2020_Q1,BR-GO
Brazil,Goiás,2020-08-30,NA,4159,2020_Q2,BR-GO
Brazil,Goiás,2020-12-31,NA,3156,2020_Q3,BR-GO
Brazil,Goiás,2021-04-30,NA,8590,2021_Q1,BR-GO
Brazil,Maranhão,2020-04-30,NA,240,2020_Q1,BR-MA
Brazil,Maranhão,2020-08-30,NA,2242,2020_Q2,BR-MA
Brazil,Maranhão,2020-12-31,NA,482,2020_Q3,BR-MA
Brazil,Maranhão,2021-04-30,NA,2338,2021_Q1,BR-MA
Brazil,Mato Grosso,2020-04-30,NA,14,2020_Q1,BR-MT
Brazil,Mato Grosso,2020-08-30,NA,2015,2020_Q2,BR-MT
Brazil,Mato Grosso,2020-12-31,NA,1366,2020_Q3,BR-MT
Brazil,Mato Grosso,2021-04-30,NA,4605,2021_Q1,BR-MT
Brazil,Mato Grosso do Sul,2020-04-30,NA,14,2020_Q1,BR-MS
Brazil,Mato Grosso do Sul,2020-08-30,NA,924,2020_Q2,BR-MS
Brazil,Mato Grosso do Sul,2020-12-31,NA,1525,2020_Q3,BR-MS
Brazil,Mato Grosso do Sul,2021-04-30,NA,3394,2021_Q1,BR-MS
Brazil,Minas Gerais,2020-04-30,NA,288,2020_Q1,BR-MG
Brazil,Minas Gerais,2020-08-30,NA,6526,2020_Q2,BR-MG
Brazil,Minas Gerais,2020-12-31,NA,7781,2020_Q3,BR-MG
Brazil,Minas Gerais,2021-04-30,NA,25044,2021_Q1,BR-MG
Brazil,Pará,2020-04-30,NA,603,2020_Q1,BR-PA
