"","state","state_iso","date","dts","bsn","exposure","excess","pscore"
"44","Acre","AC",2020-10-25,47,82.1932655230536,16743.3518072405,-35.1932655230536,0.571823004000461
"45","Acre","AC",2020-11-01,86,82.7104270306487,16747.664540186,3.28957296935134,1.03977216763894
"46","Acre","AC",2020-11-08,88,83.2247013302916,16751.9739797697,4.77529866970841,1.05737838157877
"47","Acre","AC",2020-11-15,103,83.4821701995497,16756.2802179988,19.5178298004503,1.2337963873459
"48","Acre","AC",2020-11-22,77,83.2273884261164,16760.5833468807,-6.22738842611638,0.925176212495907
"49","Acre","AC",2020-11-29,81,82.2160565401154,16764.8834584228,-1.21605654011536,0.985209014013923
"50","Acre","AC",2020-12-06,85,80.4381535205347,16769.1806446324,4.5618464794653,1.05671247138089
"51","Acre","AC",2020-12-13,102,78.3533227358886,16773.4749975168,23.6466772641114,1.30179546238031
"52","Acre","AC",2020-12-20,107,76.4456273797855,16777.7666090834,30.5543726202145,1.39968764293632
"53","Acre","AC",2020-12-27,104,75.1549889492725,16782.0555713394,28.8450110507275,1.38380700275529
"54","Acre","AC",2021-01-03,56,74.9001946924016,16786.3419762923,-18.9001946924016,0.747661607956822
"55","Acre","AC",2021-01-03,63,74.9300963154262,16786.3419762923,-11.9300963154262,0.840783651669081
"56","Acre","AC",2021-01-10,105,74.9791399613688,16790.6259159494,30.0208600386312,1.40038949571973
"57","Acre","AC",2021-01-17,89,76.0537029048821,16794.9074823179,12.9462970951179,1.17022572998595
"58","Acre","AC",2021-01-24,100,78.1968996933008,16799.1867674054,21.8031003066992,1.27882307856467
"59","Acre","AC",2021-01-31,136,81.0041429129047,16803.4638632189,54.9958570870953,1.67892647350428
"60","Acre","AC",2021-02-07,131,84.0296814497792,16807.7388617661,46.9703185502208,1.55897294550965
"61","Acre","AC",2021-02-14,145,86.7611413508929,16812.011855054,58.2388586491071,1.67125510040916
"62","Acre","AC",2021-02-21,193,88.6869151454837,16816.2829350902,104.313084854516,2.17619475977261
"63","Acre","AC",2021-02-28,141,89.7514676041279,16820.5521938819,51.2485323958721,1.57100495138327
"64","Acre","AC",2021-03-07,184,90.1409501712808,16824.8197234365,93.8590498287192,2.04124761998152
"65","Acre","AC",2021-03-14,186,90.0652048005924,16829.0856157612,95.9347951994076,2.06517045524751
"66","Acre","AC",2021-03-21,210,89.7433051978144,16833.3499628635,120.256694802186,2.34000741935137
"67","Acre","AC",2021-03-28,210,89.3871366245781,16837.6128567507,120.612863375422,2.34933132361081
"68","Acre","AC",2021-04-04,197,89.0894150031149,16841.8743894301,107.910584996885,2.21126157347775
"69","Acre","AC",2021-04-11,158,88.8522614915114,16846.1346529091,69.1477385084886,1.77823273541658
"70","Acre","AC",2021-04-18,157,88.675593146261,16850.3937391949,68.324406853739,1.77049844753838
"71","Acre","AC",2021-04-25,122,88.5594468709392,16854.651740295,33.4405531290608,1.37760571356995
"72","Acre","AC",2021-05-02,124,88.5034339001258,16858.9087482166,35.4965660998742,1.40107558018519
"73","Acre","AC",2021-05-09,112,88.4860256707633,16863.1648549672,23.5139743292367,1.26573658553416
"74","Acre","AC",2021-05-16,99,88.4581713180247,16867.4201525539,10.5418286819753,1.11917303427035
"75","Acre","AC",2021-05-23,79,88.3690576542734,16871.6747329843,-9.36905765427339,0.893978074419125
"76","Acre","AC",2021-05-30,90,88.1681622976117,16875.9286882655,1.83183770238827,1.0207766347245
"77","Acre","AC",2021-06-06,95,87.8059428233313,16880.1821104051,7.19405717666869,1.08193132429707
"78","Acre","AC",2021-06-13,93,87.2752742152543,16884.4350914101,5.72472578474566,1.06559390200971
"79","Acre","AC",2021-06-20,83,86.6606838947448,16888.6877232882,-3.66068389474485,0.957758423656211
"80","Acre","AC",2021-06-27,84,86.0570323106065,16892.9400980464,-2.0570323106065,0.976096871395913
"81","Acre","AC",2021-07-04,87,85.5566490978682,16897.1923076923,1.44335090213184,1.01687011959153
"82","Acre","AC",2021-07-11,94,85.2499437102636,16901.4444389244,8.75005628973636,1.10264002425004
"83","Acre","AC",2021-07-18,93,85.1986421004863,16905.6965572064,7.80135789951369,1.09156669293288
"84","Acre","AC",2021-07-25,79,85.3526229809411,16909.9487226932,-6.35262298094108,0.925572023927612
"85","Acre","AC",2021-08-01,93,85.6346659282211,16914.2009955399,7.36533407177888,1.08600879085524
"86","Acre","AC",2021-08-08,73,85.967399664565,16918.4534359013,-12.967399664565,0.849159103158147
"87","Acre","AC",2021-08-15,82,86.2724893890442,16922.7061039325,-4.2724893890442,0.950476804143468
