"","dpto","date","isoweek","dts","bsn","exposure","excess","pscore"
"81","Amazonas",2021-07-18,"2021-W28-7",4.03147092360319,3.55828231696533,1547.9400921106,1.13298231126343,1.13298231126343
"82","Amazonas",2021-07-25,"2021-W29-7",4.02718954248366,3.73522904012586,1548.49696388916,1.07816401597369,1.07816401597369
"83","Amazonas",2021-08-01,"2021-W30-7",8.06388136318266,3.94628127714356,1549.05523576662,2.04341272120865,2.04341272120865
"84","Amazonas",2021-08-08,"2021-W31-7",7.06289106369325,4.1603540898728,1549.61491278936,1.69766585033852,1.69766585033852
"85","Amazonas",2021-08-15,"2021-W32-7",3.03721824218067,4.33931828247061,1550.17600000372,0.699929814885904,0.699929814885904
"86","Amazonas",2021-08-22,"2021-W33-7",5.06269307650373,4.44466884538629,1550.73850245605,1.13904843141665,1.13904843141665
"87","Amazonas",2021-08-29,"2021-W34-7",3.03466204506066,4.47567833954144,1551.3024251927,0.678033990568585,0.678033990568585
"88","Amazonas",2021-09-05,"2021-W35-7",2.02551123709253,4.45258075661868,1551.86777326004,0.454907243194106,0.454907243194106
"89","Antioquia",2020-01-05,"2020-W01-7",704.181709503885,741.537416052135,127264.657993464,0.949623976161409,0.949623976161409
"90","Antioquia",2020-01-12,"2020-W02-7",695.957831325301,733.13453310807,127311.837459092,0.949290750736893,0.949290750736893
"91","Antioquia",2020-01-19,"2020-W03-7",704.883912060818,718.370376400194,127358.80630081,0.98122630778992,0.98122630778992
"92","Antioquia",2020-01-26,"2020-W04-7",682.147201689546,700.697982486256,127405.564079942,0.973525282988704,0.973525282988704
"93","Antioquia",2020-02-02,"2020-W05-7",653.07240704501,683.336495660404,127452.110357809,0.95571129479021,0.95571129479021
"94","Antioquia",2020-02-09,"2020-W06-7",639.858660998937,669.211268815531,127498.444695736,0.956138503363002,0.956138503363002
"95","Antioquia",2020-02-16,"2020-W07-7",656.695278969957,660.651171987889,127544.566655045,0.994012130477225,0.994012130477225
"96","Antioquia",2020-02-23,"2020-W08-7",713.342297762478,657.178190022756,127590.47579706,1.08546252537349,1.08546252537349
"97","Antioquia",2020-03-01,"2020-W09-7",647.991128853404,657.197269151251,127636.171683104,0.985991815958493,0.985991815958493
"98","Antioquia",2020-03-08,"2020-W10-7",633.150964309466,659.182798110129,127681.6538745,0.960508930337235,0.960508930337235
"99","Antioquia",2020-03-15,"2020-W11-7",656.553277765262,661.621058007288,127726.921932571,0.992340358305268,0.992340358305268
"100","Antioquia",2020-03-22,"2020-W12-7",631.032603841,663.06816079564,127771.97541864,0.951685876582886,0.951685876582886
"101","Antioquia",2020-03-29,"2020-W13-7",612.649826187717,663.354811943941,127816.813894031,0.923562798003026,0.923562798003026
"102","Antioquia",2020-04-05,"2020-W14-7",534.182690002398,663.305509811982,127861.436920066,0.805334317445689,0.805334317445689
"103","Antioquia",2020-04-12,"2020-W15-7",567.794394724447,663.772347433209,127905.84405807,0.855405316175181,0.855405316175181
"104","Antioquia",2020-04-19,"2020-W16-7",552.154377880184,665.610792853181,127950.034869364,0.829545409733129,0.829545409733129
"105","Antioquia",2020-04-26,"2020-W17-7",577.19258400927,669.670545834396,127994.008915272,0.8619052870096,0.8619052870096
"106","Antioquia",2020-05-03,"2020-W18-7",551.225806451613,676.002440364901,128037.765757118,0.815419846937335,0.815419846937335
"107","Antioquia",2020-05-10,"2020-W19-7",641.302388463272,683.581050467526,128081.304956224,0.93815120829441,0.93815120829441
"108","Antioquia",2020-05-17,"2020-W20-7",571.739302172482,691.270871682944,128124.626073914,0.827084324818353,0.827084324818353
"109","Antioquia",2020-05-24,"2020-W21-7",580.698717948718,697.886496748697,128167.728671511,0.832081893909781,0.832081893909781
"110","Antioquia",2020-05-31,"2020-W22-7",605.313995341944,702.203530208831,128210.612310338,0.862020723766409,0.862020723766409
"111","Antioquia",2020-06-07,"2020-W23-7",599.293096723869,703.525621219312,128253.276551717,0.851842603379827,0.851842603379827
"112","Antioquia",2020-06-14,"2020-W24-7",608.72921748921,702.387780154086,128295.720956973,0.866656901912033,0.866656901912033
"113","Antioquia",2020-06-21,"2020-W25-7",616.916551246537,699.513724876835,128337.945087429,0.881922011401791,0.881922011401791
"114","Antioquia",2020-06-28,"2020-W26-7",634.583810302535,695.63262356188,128379.948504407,0.912239864561334,0.912239864561334
"115","Antioquia",2020-07-05,"2020-W27-7",649.219096608262,691.464989297242,128421.730769231,0.93890378639139,0.93890378639139
