country,div,code,year,trimstr,dts,bsn,pop,pscore,cum_pscore,cum_avg_pscore
Brazil,Acre,BR-AC,2020,"Jan-Mar
2020",1081.4285714285716,1094.8963888277763,866468.5050644106,0.9876994594770527,1.018524096710838,1.0045536405212587
Brazil,Acre,BR-AC,2020,"Apr-Jun
2020",1480.1428571428573,1104.8245273940943,866468.5050644106,1.3397085423456443,1.0965953423278894,1.0796959390653287
Brazil,Acre,BR-AC,2020,"Jul-Sep
2020",1225.857142857143,1097.1162771323939,866468.5050644106,1.117344777767082,1.1748346995853602,1.1638287660432953
Brazil,Acre,BR-AC,2020,"Oct-Dec
2020",1168.857142857143,1105.8887197526494,866468.5050644106,1.0569392037189578,1.1378263810594824,1.122244199825565
Brazil,Acre,BR-AC,2021,"Jan-Mar
2021",1969.857142857143,1121.5187623378565,878101.1853009473,1.7564192495102684,1.2012120804582347,1.1884068930856615
Brazil,Acre,BR-AC,2021,"Apr-Jun
2021",1450.857142857143,1147.3274068924004,878101.1853009473,1.264553722103501,1.2782671859446013,1.2655067252746575
Brazil,Acre,BR-AC,2021,"Jul-Sep
2021",1104.2857142857142,1139.0694187049487,878101.1853009473,0.969463051287268,1.239687884716958,1.227429538936082
Brazil,Acre,BR-AC,2021,"Oct-Dec
2021",704,1081.7962106619061,878101.1853009473,0.6507695193064613,1.2083263462831515,1.1731909406704486
Brazil,Alagoas,BR-AL,2020,"Jan-Mar
2020",5146.571428571428,4926.2511579828915,3419306.9703828506,1.0447237186093348,1.0374767904285458,1.0379289617960887
Brazil,Alagoas,BR-AL,2020,"Apr-Jun
2020",7614.571428571428,5225.326441904379,3419306.9703828506,1.4572432006365301,1.166311567822022,1.1607088465597029
Brazil,Alagoas,BR-AL,2020,"Jul-Sep
2020",5814.571428571428,5228.705202565417,3419306.9703828506,1.1120480507714534,1.2281498907697597,1.2215254618374065
Brazil,Alagoas,BR-AL,2020,"Oct-Dec
2020",5374.142857142857,4917.047978040058,3419306.9703828506,1.0929612403914344,1.1853069126455167,1.1794664586252985
Brazil,Alagoas,BR-AL,2021,"Jan-Mar
2021",6322.428571428572,4881.871310431721,3432013.098591755,1.295083005960978,1.1895026226769285,1.1849705497478926
Brazil,Alagoas,BR-AL,2021,"Apr-Jun
2021",7091.857142857143,5217.791742528449,3432013.098591755,1.3591683019952336,1.2240142826772362,1.2200732754172259
Brazil,Alagoas,BR-AL,2021,"Jul-Sep
2021",5803.714285714285,5277.35438025167,3432013.098591755,1.0997393518677279,1.2180285498689325,1.2148558642991618
Brazil,Alagoas,BR-AL,2021,"Oct-Dec
2021",4599.142857142857,4665.274131439839,3432013.098591755,0.9858247827600707,1.1967516498725514,1.1908293104127643
Brazil,Amapá,BR-AP,2020,"Jan-Mar
2020",865.1428571428571,901.6734690090077,842491.0382796238,0.9594857638361036,1.0172150165468208,1.0010458354456035
Brazil,Amapá,BR-AP,2020,"Apr-Jun
2020",1713,974.1096968446947,842491.0382796238,1.7585288449018581,1.2717577049103743,1.227769164201478
Brazil,Amapá,BR-AP,2020,"Jul-Sep
2020",928.4285714285714,924.793019397595,842491.0382796238,1.003931206177729,1.314428477318814,1.2773343323172786
Brazil,Amapá,BR-AP,2020,"Oct-Dec
2020",1094.7142857142858,894.29191224372,842491.0382796238,1.2241129218844427,1.2570988656784343,1.2228940304320683
Brazil,Amapá,BR-AP,2021,"Jan-Mar
2021",1266.5714285714287,929.1464015493747,856942.8080808095,1.3631559315726665,1.2695591677815379,1.2418359569941178
Brazil,Amapá,BR-AP,2021,"Apr-Jun
2021",1460.2857142857142,1021.3790917575991,856942.8080808095,1.4297196076070446,1.3117891144788107,1.285689868622037
Brazil,Amapá,BR-AP,2021,"Jul-Sep
2021",1032.142857142857,974.3382151161052,856942.8080808095,1.0593270808123478,1.2837963462864928,1.262892116896691
Brazil,Amapá,BR-AP,2021,"Oct-Dec
2021",808.7142857142858,885.742136868048,856942.8080808095,0.9130358058541396,1.2511210587046653,1.2253096695000123
Brazil,Amazonas,BR-AM,2020,"Jan-Mar
2020",4637.571428571428,4594.1562483641155,4238594.868327024,1.0094500878638537,1.0389655072056616,1.0342690671888313
Brazil,Amazonas,BR-AM,2020,"Apr-Jun
2020",9229.857142857143,4763.649204857563,4238594.868327024,1.9375602077175043,1.4681684631038368,1.4508935037155257
Brazil,Amazonas,BR-AM,2020,"Jul-Sep
2020",4981.714285714286,4659.204332167024,4238594.868327024,1.069219963443256,1.3833765747759028,1.3715239857384187
Brazil,Amazonas,BR-AM,2020,"Oct-Dec
2020",5616.285714285714,4552.563553849597,4238594.868327024,1.2336534455486392,1.3220065359024367,1.312277311977293
Brazil,Amazonas,BR-AM,2021,"Jan-Mar
2021",12689,4645.2578860419035,4293257.7561658705,2.731602918780457,1.5792254518820508,1.5728310082264279
Brazil,Amazonas,BR-AM,2021,"Apr-Jun
2021",5607.571428571428,4881.999221684729,4293257.7561658705,1.1486219423517876,1.5521528835059568,1.5509337949955868
Brazil,Amazonas,BR-AM,2021,"Jul-Sep
2021",5022.285714285714,4788.185961864248,4293257.7561658705,1.0488911154006892,1.4773049540704277,1.4787138098026595
Brazil,Amazonas,BR-AM,2021,"Oct-Dec
2021",4168.571428571428,4414.029743472824,4293257.7561658705,0.9443913319196903,1.4173836890948799,1.4144575490315734
Brazil,Bahia,BR-BA,2020,"Jan-Mar
2020",23189.714285714286,23081.926590238298,15521324.8348771,1.0046697876390256,1.0033190648401724,0.9974363606530439
